Total method loc: 10188
Total method aloc: 13870.30
Code compression rate: 26.55%
==============================
method	sloc	dloc	ncalls
com/android/deskclock/alarms/AlarmStateManager.cancelScheduledInstance:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	4	4.00	1
com/android/deskclock/alarms/AlarmStateManager.deleteAllInstances:(Landroid/content/Context;J;)V	6	5.00	3
com/android/deskclock/alarms/AlarmStateManager.fixAlarmInstances:(Landroid/content/Context;)V	4	3.50	1
com/android/deskclock/alarms/AlarmStateManager.handleIntent:(Landroid/content/Context;Landroid/content/Intent;)V	28	14.50	1
com/android/deskclock/alarms/AlarmStateManager.onReceive:(Landroid/content/Context;Landroid/content/Intent;)V	9	9.00	1
com/android/deskclock/alarms/AlarmStateManager$.run:()V	3	3.00	2
com/android/deskclock/alarms/AlarmStateManager.registerInstance:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;Z;)V	48	28.50	5
com/android/deskclock/alarms/AlarmStateManager.scheduleInstanceStateChange:(Landroid/content/Context;Ljava/util/Calendar;Lcom/android/deskclock/provider/AlarmInstance;I;)V	9	8.00	8
com/android/deskclock/alarms/AlarmStateManager.setAlarmState:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;I;)V	27	18.50	1
com/android/deskclock/alarms/AlarmStateManager.setDismissState:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	6	5.50	6
com/android/deskclock/alarms/AlarmStateManager.setFiredState:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	9	8.50	3
com/android/deskclock/alarms/AlarmStateManager.setHideNotificationState:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	6	6.00	2
com/android/deskclock/alarms/AlarmStateManager.setHighNotificationState:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	6	6.00	2
com/android/deskclock/alarms/AlarmStateManager.setLowNotificationState:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	6	6.00	2
com/android/deskclock/alarms/AlarmStateManager.setMissedState:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	10	9.50	3
com/android/deskclock/alarms/AlarmStateManager.setSilentState:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	6	6.00	2
com/android/deskclock/alarms/AlarmStateManager.setSnoozeState:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	14	14.00	2
com/android/deskclock/alarms/AlarmStateManager.unregisterInstance:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	3	3.00	2
com/android/deskclock/alarms/AlarmStateManager.updateGloablIntentId:(Landroid/content/Context;)V	3	3.00	1
com/android/deskclock/alarms/AlarmStateManager.updateNextAlarm:(Landroid/content/Context;)V	7	5.75	8
com/android/deskclock/alarms/AlarmStateManager.updateParentAlarm:(Landroid/content/Context;Lcom/android/deskclock/provider/AlarmInstance;)V	22	12.00	2
com/android/deskclock/provider/Alarm$.createFromParcel:(Landroid/os/Parcel;)Lcom/android/deskclock/provider/Alarm	1	1.00	1
com/android/deskclock/provider/Alarm$.newArray:(I;)[Lcom/android/deskclock/provider/Alarm	1	1.00	1
com/android/deskclock/provider/Alarm.<init>:()V	1	1.00	2
com/android/deskclock/provider/Alarm.<init>:(Landroid/database/Cursor;)V	12	11.00	3
com/android/deskclock/provider/Alarm.<init>:(Landroid/os/Parcel;)V	9	9.00	1
com/android/deskclock/provider/Alarm.<init>:(I;I;)V	8	8.00	2
com/android/deskclock/provider/Alarm.createContentValues:(Lcom/android/deskclock/provider/Alarm;)Landroid/content/ContentValues	15	13.50	3
com/android/deskclock/provider/Alarm.getAlarmsCursorLoader:(Landroid/content/Context;)Landroid/content/CursorLoader	1	1.00	1
com/android/deskclock/provider/Alarm.createIntent:(Landroid/content/Context;Ljava/lang/Class;J;)Landroid/content/Intent	1	1.00	6
com/android/deskclock/provider/Alarm.createIntent:(Ljava/lang/String;J;)Landroid/content/Intent	1	1.00	1
com/android/deskclock/provider/Alarm.getUri:(J;)Landroid/net/Uri	1	1.00	5
com/android/deskclock/provider/Alarm.deleteAlarm:(Landroid/content/ContentResolver;J;)Z	4	3.50	2
com/android/deskclock/provider/Alarm.equals:(Ljava/lang/Object;)Z	4	3.50	3
com/android/deskclock/provider/Alarm.updateAlarm:(Landroid/content/ContentResolver;Lcom/android/deskclock/provider/Alarm;)Z	5	4.50	4
com/android/deskclock/provider/Alarm.addAlarm:(Landroid/content/ContentResolver;Lcom/android/deskclock/provider/Alarm;)Lcom/android/deskclock/provider/Alarm	4	4.00	2
com/android/deskclock/provider/Alarm.getAlarm:(Landroid/content/ContentResolver;J;)Lcom/android/deskclock/provider/Alarm	10	9.00	2
com/android/deskclock/provider/Alarm.createInstanceAfter:(Ljava/util/Calendar;)Lcom/android/deskclock/provider/AlarmInstance	18	17.00	5
com/android/deskclock/provider/Alarm.describeContents:()I	1	1.00	1
com/android/deskclock/provider/Alarm.hashCode:()I	1	1.00	1
com/android/deskclock/provider/Alarm.getLabelOrDefault:(Landroid/content/Context;)Ljava/lang/String	3	2.50	1
com/android/deskclock/provider/Alarm.toString:()Ljava/lang/String	1	1.00	3
com/android/deskclock/provider/Alarm.getAlarms:(Landroid/content/ContentResolver;Ljava/lang/String;[Ljava/lang/String;)Ljava/util/List	12	9.75	2
com/android/deskclock/provider/Alarm.getId:(Landroid/net/Uri;)J	1	1.00	1
com/android/deskclock/provider/Alarm.writeToParcel:(Landroid/os/Parcel;I;)V	9	9.00	1
com/android/deskclock/provider/AlarmInstance.<init>:(Landroid/database/Cursor;)V	15	13.50	2
com/android/deskclock/provider/AlarmInstance.<init>:(Ljava/util/Calendar;)V	6	6.00	1
com/android/deskclock/provider/AlarmInstance.<init>:(Ljava/util/Calendar;Ljava/lang/Long;)V	2	2.00	1
com/android/deskclock/provider/AlarmInstance.createContentValues:(Lcom/android/deskclock/provider/AlarmInstance;)Landroid/content/ContentValues	17	15.50	3
com/android/deskclock/provider/AlarmInstance.createIntent:(Landroid/content/Context;Ljava/lang/Class;J;)Landroid/content/Intent	1	1.00	6
com/android/deskclock/provider/AlarmInstance.createIntent:(Ljava/lang/String;J;)Landroid/content/Intent	1	1.00	1
com/android/deskclock/provider/AlarmInstance.getUri:(J;)Landroid/net/Uri	1	1.00	5
com/android/deskclock/provider/AlarmInstance.deleteInstance:(Landroid/content/ContentResolver;J;)Z	4	3.50	2
com/android/deskclock/provider/AlarmInstance.equals:(Ljava/lang/Object;)Z	4	3.50	3
com/android/deskclock/provider/AlarmInstance.updateInstance:(Landroid/content/ContentResolver;Lcom/android/deskclock/provider/AlarmInstance;)Z	5	4.50	8
com/android/deskclock/provider/AlarmInstance.addInstance:(Landroid/content/ContentResolver;Lcom/android/deskclock/provider/AlarmInstance;)Lcom/android/deskclock/provider/AlarmInstance	11	7.50	3
com/android/deskclock/provider/AlarmInstance.getInstance:(Landroid/content/ContentResolver;J;)Lcom/android/deskclock/provider/AlarmInstance	10	9.00	4
com/android/deskclock/provider/AlarmInstance.hashCode:()I	1	1.00	26
com/android/deskclock/provider/AlarmInstance.getLabelOrDefault:(Landroid/content/Context;)Ljava/lang/String	1	1.00	3
com/android/deskclock/provider/AlarmInstance.toString:()Ljava/lang/String	1	1.00	4
com/android/deskclock/provider/AlarmInstance.getAlarmTime:()Ljava/util/Calendar	9	9.00	22
com/android/deskclock/provider/AlarmInstance.getHighNotificationTime:()Ljava/util/Calendar	3	3.00	3
com/android/deskclock/provider/AlarmInstance.getLowNotificationTime:()Ljava/util/Calendar	3	3.00	2
com/android/deskclock/provider/AlarmInstance.getMissedTimeToLive:()Ljava/util/Calendar	3	3.00	2
com/android/deskclock/provider/AlarmInstance.getTimeout:(Landroid/content/Context;)Ljava/util/Calendar	7	6.50	2
com/android/deskclock/provider/AlarmInstance.getInstances:(Landroid/content/ContentResolver;Ljava/lang/String;[Ljava/lang/String;)Ljava/util/List	12	9.75	4
com/android/deskclock/provider/AlarmInstance.getInstancesByAlarmId:(Landroid/content/ContentResolver;J;)Ljava/util/List	1	1.00	1
com/android/deskclock/provider/AlarmInstance.getId:(Landroid/net/Uri;)J	1	1.00	5
com/android/deskclock/provider/AlarmInstance.setAlarmTime:(Ljava/util/Calendar;)V	5	5.00	2
com/android/deskclock/provider/City.<init>:(Landroid/database/Cursor;)V	4	4.00	2
com/android/deskclock/provider/City.<init>:(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;I;)V	4	4.00	1
com/android/deskclock/provider/City.createContentValues:(Lcom/android/deskclock/provider/City;)Landroid/content/ContentValues	6	6.00	2
com/android/deskclock/provider/City.getContentUriForId:(Ljava/lang/String;)Landroid/net/Uri	1	1.00	3
com/android/deskclock/provider/City.deleteCity:(Landroid/content/ContentResolver;Ljava/lang/String;)Z	3	3.00	1
com/android/deskclock/provider/City.equals:(Ljava/lang/Object;)Z	4	3.50	3
com/android/deskclock/provider/City.updateCity:(Landroid/content/ContentResolver;Lcom/android/deskclock/provider/City;)Z	4	4.00	1
com/android/deskclock/provider/City.addCity:(Landroid/content/ContentResolver;Lcom/android/deskclock/provider/City;)Lcom/android/deskclock/provider/City	4	4.00	1
com/android/deskclock/provider/City.getCity:(Landroid/content/ContentResolver;Ljava/lang/String;)Lcom/android/deskclock/provider/City	10	9.00	1
com/android/deskclock/provider/City.hashCode:()I	1	1.00	1
com/android/deskclock/provider/City.getCityId:(Landroid/net/Uri;)Ljava/lang/String	1	1.00	1
com/android/deskclock/provider/City.toString:()Ljava/lang/String	1	1.00	3
com/android/deskclock/provider/City.getCities:(Landroid/content/ContentResolver;Ljava/lang/String;[Ljava/lang/String;)Ljava/util/List	12	9.75	1
com/android/deskclock/provider/ClockContract.<init>:()V	0	0.00	1
com/android/deskclock/provider/ClockDatabaseHelper.<init>:(Landroid/content/Context;)V	2	2.00	1
com/android/deskclock/provider/ClockDatabaseHelper.fixAlarmInsert:(Landroid/content/ContentValues;)J	20	15.63	1
com/android/deskclock/provider/ClockDatabaseHelper.createAlarmsTable:(Landroid/database/sqlite/SQLiteDatabase;)V	2	2.00	2
com/android/deskclock/provider/ClockDatabaseHelper.createCitiesTable:(Landroid/database/sqlite/SQLiteDatabase;)V	2	2.00	2
com/android/deskclock/provider/ClockDatabaseHelper.createInstanceTable:(Landroid/database/sqlite/SQLiteDatabase;)V	2	2.00	2
com/android/deskclock/provider/ClockDatabaseHelper.onCreate:(Landroid/database/sqlite/SQLiteDatabase;)V	8	8.00	1
com/android/deskclock/provider/ClockDatabaseHelper.onUpgrade:(Landroid/database/sqlite/SQLiteDatabase;I;I;)V	33	12.75	1
com/android/deskclock/provider/ClockProvider.<init>:()V	0	0.00	1
com/android/deskclock/provider/ClockProvider.query:(Landroid/net/Uri;[Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;Ljava/lang/String;)Landroid/database/Cursor	36	25.50	1
com/android/deskclock/provider/ClockProvider.insert:(Landroid/net/Uri;Landroid/content/ContentValues;)Landroid/net/Uri	17	13.50	1
com/android/deskclock/provider/ClockProvider.onCreate:()Z	2	2.00	1
com/android/deskclock/provider/ClockProvider.delete:(Landroid/net/Uri;Ljava/lang/String;[Ljava/lang/String;)I	41	25.50	1
