Total method loc: 8777.0
Total method aloc: 12259.75
Code compression rate: 28.4080017944901%
==============================
method	sloc	dloc	ncalls
com/github/mobile/core/commit/FullCommit.add:(Lorg/eclipse/egit/github/core/CommitComment;)Z	13	6.38	1
com/github/mobile/core/commit/FullCommit.getFiles:()Ljava/util/List	1	1.00	1
com/github/mobile/core/commit/FullCommit.getCommit:()Lorg/eclipse/egit/github/core/RepositoryCommit	1	1.00	2
com/github/mobile/core/commit/FullCommitFile.<init>:(Lorg/eclipse/egit/github/core/CommitFile;)V	1	1.00	3
com/github/mobile/core/commit/FullCommitFile.add:(Lorg/eclipse/egit/github/core/CommitComment;)Lcom/github/mobile/core/commit/FullCommitFile	8	5.00	2
com/github/mobile/core/commit/FullCommitFile.get:(I;)Ljava/util/List	2	2.00	1
com/github/mobile/core/commit/FullCommitFile.getFile:()Lorg/eclipse/egit/github/core/CommitFile	1	1.00	3
com/github/mobile/core/commit/RefreshCommitTask.<init>:(Landroid/content/Context;Lorg/eclipse/egit/github/core/IRepositoryIdProvider;Ljava/lang/String;Lcom/github/mobile/util/HttpImageGetter;)V	4	4.00	1
com/github/mobile/core/commit/RefreshCommitTask.run:(Landroid/accounts/Account;)Lcom/github/mobile/core/commit/FullCommit	11	6.75	1
com/github/mobile/core/commit/RefreshCommitTask.onException:(Ljava/lang/Exception;)V	2	2.00	1
com/github/mobile/core/gist/FullGist.<init>:()V	2	2.00	1
com/github/mobile/core/gist/FullGist.<init>:(Lorg/eclipse/egit/github/core/Gist;Z;Ljava/util/Collection;)V	3	3.00	1
com/github/mobile/core/gist/FullGist.isStarred:()Z	1	1.00	1
com/github/mobile/core/gist/FullGist.getGist:()Lorg/eclipse/egit/github/core/Gist	1	1.00	4
com/github/mobile/core/gist/GistEventMatcher.getGist:(Lorg/eclipse/egit/github/core/event/Event;)Lorg/eclipse/egit/github/core/Gist	10	8.00	1
com/github/mobile/core/gist/GistPager.<init>:(Lcom/github/mobile/core/gist/GistStore;)V	1	1.00	3
com/github/mobile/core/gist/GistPager.getId:(Lorg/eclipse/egit/github/core/Gist;)Ljava/lang/Object	1	1.00	1
com/github/mobile/core/gist/GistPager.register:(Lorg/eclipse/egit/github/core/Gist;)Lorg/eclipse/egit/github/core/Gist	1	1.00	1
com/github/mobile/core/gist/GistStore.<init>:(Lorg/eclipse/egit/github/core/service/GistService;)V	1	1.00	1
com/github/mobile/core/gist/GistStore.sortFiles:(Lorg/eclipse/egit/github/core/Gist;)Ljava/util/Map	6	5.50	2
com/github/mobile/core/gist/GistStore.addGist:(Lorg/eclipse/egit/github/core/Gist;)Lorg/eclipse/egit/github/core/Gist	11	7.00	5
com/github/mobile/core/gist/GistStore.editGist:(Lorg/eclipse/egit/github/core/Gist;)Lorg/eclipse/egit/github/core/Gist	1	1.00	1
com/github/mobile/core/gist/GistStore.getGist:(Ljava/lang/String;)Lorg/eclipse/egit/github/core/Gist	1	1.00	6
com/github/mobile/core/gist/GistStore.refreshGist:(Ljava/lang/String;)Lorg/eclipse/egit/github/core/Gist	1	1.00	2
com/github/mobile/core/gist/GistUriMatcher.getGist:(Landroid/net/Uri;)Lorg/eclipse/egit/github/core/Gist	13	10.50	1
com/github/mobile/core/gist/GistUrlMatcher.getId:(Ljava/lang/String;)Ljava/lang/String	1	1.00	2
com/github/mobile/core/gist/RefreshGistTask.<init>:(Landroid/content/Context;Ljava/lang/String;Lcom/github/mobile/util/HttpImageGetter;)V	3	3.00	2
com/github/mobile/core/gist/RefreshGistTask.run:(Landroid/accounts/Account;)Lcom/github/mobile/core/gist/FullGist	11	8.50	1
com/github/mobile/core/gist/RefreshGistTask.onException:(Ljava/lang/Exception;)V	2	2.00	1
com/github/mobile/core/gist/StarGistTask.<init>:(Landroid/content/Context;Ljava/lang/String;)V	2	2.00	1
com/github/mobile/core/gist/StarGistTask.run:(Landroid/accounts/Account;)Lorg/eclipse/egit/github/core/Gist	2	2.00	1
com/github/mobile/core/gist/StarGistTask.onException:(Ljava/lang/Exception;)V	2	2.00	1
com/github/mobile/core/gist/UnstarGistTask.<init>:(Landroid/content/Context;Ljava/lang/String;)V	2	2.00	1
com/github/mobile/core/gist/UnstarGistTask.run:(Landroid/accounts/Account;)Lorg/eclipse/egit/github/core/Gist	2	2.00	1
com/github/mobile/core/gist/UnstarGistTask.onException:(Ljava/lang/Exception;)V	2	2.00	1
com/github/mobile/core/issue/FullIssue.<init>:()V	1	1.00	1
com/github/mobile/core/issue/FullIssue.<init>:(Lorg/eclipse/egit/github/core/Issue;Ljava/util/Collection;)V	2	2.00	1
com/github/mobile/core/issue/FullIssue.getIssue:()Lorg/eclipse/egit/github/core/Issue	1	1.00	2
com/github/mobile/core/issue/IssueEventMatcher.getIssue:(Lorg/eclipse/egit/github/core/event/Event;)Lorg/eclipse/egit/github/core/Issue	14	11.00	1
com/github/mobile/core/issue/IssueFilter.<init>:(Lorg/eclipse/egit/github/core/Repository;)V	2	2.00	1
com/github/mobile/core/issue/IssueFilter.equals:(Ljava/lang/Object;)Z	6	5.00	4
com/github/mobile/core/issue/IssueFilter.isEqual:(Ljava/lang/Object;Ljava/lang/Object;)Z	3	2.50	1
com/github/mobile/core/issue/IssueFilter.isEqual:(Lorg/eclipse/egit/github/core/Milestone;Lorg/eclipse/egit/github/core/Milestone;)Z	3	2.50	1
com/github/mobile/core/issue/IssueFilter.isEqual:(Lorg/eclipse/egit/github/core/Repository;Lorg/eclipse/egit/github/core/Repository;)Z	1	1.00	1
com/github/mobile/core/issue/IssueFilter.isEqual:(Lorg/eclipse/egit/github/core/User;Lorg/eclipse/egit/github/core/User;)Z	3	2.50	1
com/github/mobile/core/issue/IssueFilter.isOpen:()Z	1	1.00	3
com/github/mobile/core/issue/IssueFilter.addLabel:(Lorg/eclipse/egit/github/core/Label;)Lcom/github/mobile/core/issue/IssueFilter	6	5.00	1
com/github/mobile/core/issue/IssueFilter.clone:()Lcom/github/mobile/core/issue/IssueFilter	4	4.00	1
com/github/mobile/core/issue/IssueFilter.setAssignee:(Lorg/eclipse/egit/github/core/User;)Lcom/github/mobile/core/issue/IssueFilter	2	2.00	1
com/github/mobile/core/issue/IssueFilter.setLabels:(Ljava/util/Collection;)Lcom/github/mobile/core/issue/IssueFilter	9	5.50	1
com/github/mobile/core/issue/IssueFilter.setMilestone:(Lorg/eclipse/egit/github/core/Milestone;)Lcom/github/mobile/core/issue/IssueFilter	2	2.00	1
com/github/mobile/core/issue/IssueFilter.setOpen:(Z;)Lcom/github/mobile/core/issue/IssueFilter	2	2.00	2
com/github/mobile/core/issue/IssueFilter.compare:(Lorg/eclipse/egit/github/core/Label;Lorg/eclipse/egit/github/core/Label;)I	1	1.00	1
com/github/mobile/core/issue/IssueFilter.hashCode:()I	1	1.00	1
com/github/mobile/core/issue/IssueFilter.toDisplay:()Ljava/lang/CharSequence	24	17.75	2
com/github/mobile/core/issue/IssueFilter.toFilterMap:()Ljava/util/Map	17	12.75	1
com/github/mobile/core/issue/IssueFilter.getLabels:()Ljava/util/Set	1	1.00	4
com/github/mobile/core/issue/IssueFilter.getMilestone:()Lorg/eclipse/egit/github/core/Milestone	1	1.00	4
com/github/mobile/core/issue/IssueFilter.getRepository:()Lorg/eclipse/egit/github/core/Repository	1	1.00	6
com/github/mobile/core/issue/IssueFilter.getAssignee:()Lorg/eclipse/egit/github/core/User	1	1.00	4
com/github/mobile/core/issue/IssuePager.<init>:(Lcom/github/mobile/core/issue/IssueStore;)V	1	1.00	1
com/github/mobile/core/issue/IssuePager.getId:(Lorg/eclipse/egit/github/core/Issue;)Ljava/lang/Object	1	1.00	1
